,PC1,PC2,PC3
Current_Stock,0.45170266735897374,0.24409510132350415,-0.04140297350851156
Daily_Sales,0.37696928606349367,-0.3120953805223257,-0.07505787905958229
Supplier_Lead_Time,0.2872294398317031,0.02184124437260778,0.1367279455674632
Reorder_Level,0.48712917671248024,-0.24231514732895745,0.026572259603165796
Unit_Price_INR,-0.007437764554123194,-0.04444785906952918,-0.2010054219159339
Minimum_Order_Quantity,-0.011749513823717415,0.011525253191084285,-0.6671777274103147
Expiry_Months_Remaining,-0.025699616717799644,0.05882434536251026,0.6947859813721728
Days_of_Inventory,0.2676441693043897,0.5853835466972297,-0.010082088842179112
Lead_Time_Demand,0.49390840170464584,-0.23870886117473752,0.02923224894900707
Buffer_Ratio,0.13277996611605689,0.6153014058119932,-0.06354887960371046
